airport,date,time,temperature,pressure_station,pressure_sea,humidity,wind_direction,wind_speed,visibility
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",03:30,-14,745.9,747.8,85,"Ветер, дующий с запада",(1 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",03:00,-13,745.9,747.8,85,"Ветер, дующий с запада",(2 м/с),3.9
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",02:30,-13,745.1,747.0,85,"Ветер, дующий с запада",(2 м/с),3.7
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",02:00,-17,745.1,747.0,92,"Ветер, дующий с западо-северо-запада",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",01:30,-15,745.1,747.0,85,"Ветер, дующий с северо-запада",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",01:00,-15,744.4,746.3,85,"Ветер, дующий с северо-запада",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",00:30,-15,744.4,746.3,85,"Ветер, дующий с западо-северо-запада",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",00:00,-13,744.4,746.3,85,"Ветер, дующий с северо-запада",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",23:30,-13,744.4,746.3,92,"Ветер, дующий с северо-северо-запада",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",23:00,-13,743.6,745.5,92,"Ветер, дующий с северо-запада",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",22:30,-12,743.6,745.5,85,"Ветер, дующий с северо-северо-запада",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",22:00,-12,743.6,745.5,92,"Ветер, дующий с северо-запада",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",21:30,-12,742.9,744.7,92,"Ветер, дующий с северо-северо-запада",(2 м/с),7.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",21:00,-12,742.9,744.7,92,"Ветер, дующий с северо-северо-запада",(2 м/с),7.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",20:30,-12,742.9,744.7,92,"Ветер, дующий с северо-северо-запада",(1 м/с),7.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",20:00,-11,742.9,744.7,85,"Ветер, дующий с северо-северо-запада",(1 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",19:30,-11,742.9,744.7,85,"Ветер, дующий с севера",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",19:00,-11,742.9,744.7,85,"Ветер, дующий с севера",(2 м/с),7.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",18:30,-11,742.9,744.7,85,"Ветер, дующий с севера",(1 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",18:00,-11,742.2,744.0,85,"Ветер, дующий с северо-северо-востока",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",17:30,-11,742.2,744.0,92,"Ветер, дующий с северо-северо-востока",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",17:00,-11,742.2,744.0,92,"Ветер, дующий с северо-северо-востока",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",16:30,-11,742.2,744.0,92,"Ветер, дующий с северо-северо-востока",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",16:00,-11,742.2,744.0,92,Переменное направление,(1 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",15:30,-11,742.2,744.0,92,"Ветер, дующий с северо-востока",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",15:00,-11,742.2,744.0,92,"Ветер, дующий с северо-востока",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",14:30,-10,742.2,744.0,85,"Ветер, дующий с северо-востока",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",14:00,-10,742.2,744.0,85,"Ветер, дующий с северо-востока",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",13:30,-10,742.2,744.0,85,"Ветер, дующий с востоко-северо-востока",(3 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",13:00,-10,742.2,744.0,85,"Ветер, дующий с востоко-северо-востока",(3 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",12:30,-10,742.2,744.0,85,"Ветер, дующий с востоко-северо-востока",(3 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",12:00,-10,742.2,744.0,92,"Ветер, дующий с востока",(3 м/с),8.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",11:30,-10,742.2,744.0,85,"Ветер, дующий с востока",(3 м/с),8.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",11:00,-10,742.2,744.0,85,"Ветер, дующий с востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",10:30,-10,742.2,744.0,85,"Ветер, дующий с востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",10:00,-10,742.2,744.0,85,"Ветер, дующий с востока",(5 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",09:30,-10,742.2,744.0,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",09:00,-10,742.2,744.0,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",08:30,-10,742.2,744.0,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",08:00,-11,742.2,744.0,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",07:30,-11,742.2,744.0,92,"Ветер, дующий с востока",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",07:00,-11,742.2,744.0,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",06:30,-11,742.2,744.0,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",06:00,-11,742.2,744.0,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",05:30,-11,742.2,744.0,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",05:00,-11,742.2,744.0,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",04:30,-11,742.2,744.0,92,"Ветер, дующий с востока",(5 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",04:00,-11,742.9,744.7,92,"Ветер, дующий с востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",03:30,-11,742.9,744.7,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",03:00,-11,742.9,744.7,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",02:30,-11,742.9,744.7,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",02:00,-11,742.9,744.7,85,"Ветер, дующий с востока",(5 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",01:30,-11,742.9,744.7,85,"Ветер, дующий с востока",(6 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",01:00,-11,742.9,744.7,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",00:30,-11,743.7,745.5,92,"Ветер, дующий с востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"17 января,среда",00:00,-11,743.7,745.5,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",23:30,-11,743.7,745.5,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",23:00,-11,743.7,745.5,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",22:30,-12,743.6,745.5,92,"Ветер, дующий с востока",(5 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",22:00,-12,743.6,745.5,92,"Ветер, дующий с востока",(5 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",21:30,-12,743.6,745.5,92,"Ветер, дующий с востока",(5 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",21:00,-12,743.6,745.5,92,"Ветер, дующий с востока",(6 м/с),6.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",20:30,-12,743.6,745.5,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",20:00,-12,743.6,745.5,85,"Ветер, дующий с востока",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",19:30,-12,743.6,745.5,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",19:00,-13,743.6,745.5,92,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",18:30,-13,743.6,745.5,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",18:00,-13,743.6,745.5,85,"Ветер, дующий с востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",17:30,-13,743.6,745.5,85,"Ветер, дующий с востока",(6 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",17:00,-13,743.6,745.5,85,"Ветер, дующий с востока",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",16:30,-13,743.6,745.5,85,"Ветер, дующий с востока",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",16:00,-14,744.4,746.3,92,"Ветер, дующий с востока",(6 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",15:30,-14,744.4,746.3,85,"Ветер, дующий с востока",(5 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",15:00,-14,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),6.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",14:30,-14,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",14:00,-14,743.6,745.5,85,"Ветер, дующий с востока",(6 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",13:30,-14,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),6.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",13:00,-14,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",12:30,-15,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),8.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",12:00,-15,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),7.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",11:30,-15,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),4.5
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",11:00,-15,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",10:30,-15,744.4,746.3,85,"Ветер, дующий с востока",(5 м/с),7.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",10:00,-15,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),3.8
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",09:30,-15,744.4,746.3,85,"Ветер, дующий с востока",(5 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",09:00,-15,744.4,746.3,78,"Ветер, дующий с востока",(6 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",08:30,-15,744.4,746.3,78,"Ветер, дующий с востока",(7 м/с),4.1
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",08:00,-16,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",07:30,-16,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),7.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",07:00,-16,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),8.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",06:30,-16,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",06:00,-16,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),6.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",05:30,-16,744.4,746.3,85,"Ветер, дующий с востока",(6 м/с),4.8
Архангельске / им. Ф. А. Абрамова (аэропорт),"16 января,вторник",05:00,-16,745.1,747.0,78,"Ветер, дующий с востока",(5 м/с),5.0
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",05:00,-11,748.5,759.7,85,"Ветер, дующий с юго-юго-востока",(12 м/с),0.5
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",04:30,-11,749.3,760.5,85,"Ветер, дующий с юго-юго-востока",(12 м/с),0.5
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",04:00,-12,749.9,761.2,92,"Ветер, дующий с юго-юго-востока",(10 м/с),0.5
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",03:30,-12,750.7,762.0,92,"Ветер, дующий с юго-юго-востока",(12 м/с),0.7
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",03:00,-12,752.2,763.5,85,"Ветер, дующий с юго-юго-востока",(9 м/с),2.8
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",02:30,-12,752.2,763.5,85,"Ветер, дующий с юго-юго-востока",(9 м/с),7.0
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",02:00,-12,753.0,764.3,79,"Ветер, дующий с юго-юго-востока",(7 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",01:30,-13,752.9,764.3,85,"Ветер, дующий с юго-юго-востока",(8 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",01:00,-13,753.6,765.0,85,"Ветер, дующий с юго-юго-востока",(7 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",00:30,-14,753.6,765.0,85,"Ветер, дующий с юго-юго-востока",(7 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"2024г.19 января,пятница",00:00,-15,753.5,765.0,85,"Ветер, дующий с юго-юго-востока",(5 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",23:30,-16,754.3,765.8,85,"Ветер, дующий с юго-востока",(5 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",23:00,-16,754.3,765.8,85,"Ветер, дующий с юго-востока",(5 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",22:30,-17,754.2,765.8,85,"Ветер, дующий с юго-востока",(4 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",22:00,-17,754.2,765.8,85,"Ветер, дующий с юго-юго-востока",(4 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",21:30,-18,754.2,765.8,84,"Ветер, дующий с юго-юго-востока",(3 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",21:00,-19,754.9,766.6,84,"Ветер, дующий с юго-юго-востока",(3 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",20:30,-18,754.2,765.8,84,"Ветер, дующий с юго-юго-востока",(3 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",20:00,-18,755.0,766.6,84,"Ветер, дующий с юго-востока",(4 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",19:30,-18,755.0,766.6,84,"Ветер, дующий с юго-юго-востока",(3 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",19:00,-18,755.0,766.6,84,"Ветер, дующий с юго-юго-запада",(3 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",18:30,-18,755.0,766.6,84,"Ветер, дующий с юго-юго-запада",(3 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",18:00,-18,755.0,766.6,84,"Ветер, дующий с юго-юго-запада",(4 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",17:30,-16,755.1,766.6,85,"Ветер, дующий с юго-запада",(3 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",17:00,-15,755.1,766.6,78,"Ветер, дующий с юго-запада",(3 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",16:30,-14,754.4,765.8,78,"Ветер, дующий с западо-юго-запада",(2 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",16:00,-14,754.4,765.8,78,"Ветер, дующий с западо-юго-запада",(2 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",15:30,-13,754.4,765.8,78,"Ветер, дующий с запада",(5 м/с),10.0 и более
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",15:00,-13,754.4,765.8,78,"Ветер, дующий с запада",(4 м/с),9.0
Казани / им. Г. М. Тукая (аэропорт),"18 января,четверг",14:30,-12,753.7,765.0,79,"Ветер, дующий с запада",(4 м/с),9.0
